nct,titulo,sponsor,estado_ct,fase,tipo_estudio,fecha_inicio,fecha_fin
NCT06406400,"Drug-Drug Interaction and Safety of AZD4041 Study (Part 1) and Efficacy, Safety, Pharmacokinetics and Pharmacodynamics of AZD4041 Study in Opioid Use Disorder (Part 2).",AstraZeneca,TERMINATED,PHASE1,INTERVENTIONAL,2024-05-13,2024-07-31
NCT01384292,Assessment of Efficacy and Safety in Relieving Opioid-induced Constipation in Patients With Cancer-related Pain,AstraZeneca,TERMINATED,PHASE3,INTERVENTIONAL,2011-06,2012-09
NCT01838499,"Assessment of the Safety, Tolerability and Efficacy of MEDI8968 in Subjects With Moderate to Severe Hidradenitis Suppurativa",AstraZeneca,TERMINATED,PHASE2,INTERVENTIONAL,2013-05,2014-10
NCT00261417,Dose Response Study in Japanese Patients,AstraZeneca,TERMINATED,PHASE2,INTERVENTIONAL,2004-05,2005-10
NCT04949425,A Study to Assess the Safety and Tolerability of Adavosertib for Patients With Advanced Solid Tumours,AstraZeneca,TERMINATED,PHASE1,INTERVENTIONAL,2021-09-13,2022-04-21
NCT01944618,forREAL: FORXIGA PRESCRIPTION EVENT MONITORING PROGRAM (PEMP),AstraZeneca,TERMINATED,OBSERVATIONAL,OBSERVATIONAL,2013-10,2015-10
NCT00251940,GALLANT 7 Tesaglitazar Add-on to Sulphonylurea,AstraZeneca,TERMINATED,PHASE3,INTERVENTIONAL,2004-07,2006-03
NCT03310320,Study to Determine if AZD0284 is Effective and Safe in Treating Plaque Psoriasis,AstraZeneca,TERMINATED,PHASE1,INTERVENTIONAL,2017-11-29,2018-04-18
NCT01007929,"Open-Label Absorption, Distribution, Metabolism, Excretion (ADME) and Pharmacokinetics (PK) Following a Single Oral Dose of AZD1236 in Healthy Male Subjects",AstraZeneca,TERMINATED,PHASE1,INTERVENTIONAL,2009-10,2009-11
NCT02574637,"Evaluation of Efficacy and Safety of Brazikumab (MEDI2070) in Participants With Active, Moderate to Severe Crohn's Disease",AstraZeneca,TERMINATED,PHASE2,INTERVENTIONAL,2016-01-05,2018-01-29
NCT00497731,AZD1152 in Patients With Advanced Solid Malignancies-Study 1,AstraZeneca,TERMINATED,PHASE1,INTERVENTIONAL,2005-05,2009-04
NCT00945425,AZD7325 Japan Multiple Ascending Dose (MAD) Study,AstraZeneca,TERMINATED,PHASE1,INTERVENTIONAL,2009-07,2009-11
NCT04870112,A Study to Evaluate Subcutaneous Durvalumab in Patients With Non-Small Cell Lung Cancer and Small Cell Lung Cancer,AstraZeneca,TERMINATED,PHASE1,INTERVENTIONAL,2021-06-28,2023-08-30
NCT04543409,A Study of Benralizumab in Patients With Eosinophilic Esophagitis,AstraZeneca,TERMINATED,PHASE3,INTERVENTIONAL,2020-09-22,2023-02-06
